rank,tier,hostile_rank,deep_read_rank,serious_skim_rank,openalex_id,year,title,authors,venue,doi,cited_by_count,relevance_score,query_hits,family,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
11,hostile_prior;deep_read;serious_skim;landscape,11,11,11,https://openalex.org/W4385453360,2023,FDCT: Fast Depth Completion for Transparent Objects,T. Li; Zhehan Chen; Huan Liu; Chen Wang,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2023.3300544,23,29.9123,2,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Depth completion is crucial for many robotic tasks such as autonomous driving, 3-D reconstruction, and manipulation. Despite the significant progress, existing methods remain computationally intensive and often fail to meet the real-time requirements of low-power robotic platforms. Additionally, most methods are designed for opaque objects and struggle with transparent objects due to the special properties of reflection and refraction. To address these challenges, we propose a Fast Depth Completion framework for Transparent objects (FDCT), which also benefits downstream tasks like object pose estimation. To leverage local information and avoi"
12,hostile_prior;deep_read;serious_skim;landscape,12,12,12,https://openalex.org/W4408124953,2025,FuseGrasp: Radar-Camera Fusion for Robotic Grasping of Transparent Objects,Hongyu Deng; Tianfan Xue; He Chen,IEEE Transactions on Mobile Computing,https://doi.org/10.1109/tmc.2025.3547371,2,29.3845,2,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects are prevalent in everyday environments, but their distinct physical properties pose significant challenges for camera-guided robotic arms. Current research is mainly dependent on camera-only approaches, which often falter in suboptimal conditions, such as low-light environments. In response to this challenge, we present FuseGrasp, the first radar-camera fusion system tailored to enhance the transparent objects manipulation. FuseGrasp exploits the weak penetrating property of millimeter-wave (mmWave) signals, which causes transparent materials to appear opaque, and combines it with the precise motion control of a robotic ar"
13,hostile_prior;deep_read;serious_skim;landscape,13,13,13,https://openalex.org/W4390480925,2023,Tabletop Transparent Scene Reconstruction via Epipolar-Guided Optical Flow with Monocular Depth Completion Prior,Xiaotong Chen; Zheming Zhou; Zhuo Deng; Omid Ghasemalizadeh; Min Sun; ChengHao Kuo; et al.,,https://doi.org/10.1109/humanoids57100.2023.10375156,1,29.0426,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Reconstructing transparent objects using affordable RGB-D cameras is a persistent challenge in robotic perception due to inconsistent appearances across views in the RGB domain and inaccurate depth readings in each single-view. We introduce a two-stage pipeline for reconstructing transparent objects tailored for mobile platforms. In the first stage, off-the-shelf monocular object segmentation and depth completion networks are leveraged to predict the depth of transparent objects, furnishing single-view shape prior. Subsequently, we propose Epipolar-guided Optical Flow (EOF) to fuse several single-view shape priors from the first stage to a cr"
14,hostile_prior;deep_read;serious_skim;landscape,14,14,14,https://openalex.org/W4391128554,2024,View Planning for Grape Harvesting Based on Active Vision Strategy Under Occlusion,Yi Tao; Dongbo Zhang; Lufeng Luo; Jiangtao Luo,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3357397,20,28.9656,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Replacing humans with robots for fruit harvesting is the trend of agricultural automation in the future. However, for grape harvesting robots, locating the picking point becomes a significant challenge in highly occluded environments due to the small fruit stem, which can be entirely obscured by fruit leaves when the observation angle is poor. In the letter, a view planner based on an active vision strategy is proposed to address the occlusion problem. It aims to find the picking point by altering the observation perspective of the harvesting robot. The view planning process is achieved through multiple iterations. Each iteration consists of"
15,hostile_prior;deep_read;serious_skim;landscape,15,15,15,https://openalex.org/W4388501123,2023,Depth completion of transparent objects based on convolutional attention mechanism,Qingfeng Liang; Limin Liao; Hao Li,,https://doi.org/10.1117/12.3011392,0,28.8,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects have two unique optical properties of reflection and light transmission. Current depth cameras cannot perceive them effectively, and the obtained depth images contain a lot of holes and noise information. Robotic grasping and 3D reconstruction of transparent objects becomes difficult. Recent methods mainly focus on depth completion for nontransparent objects, while transparent objects are rarely studied. This paper presents a deep learning approach to obtain a complete depth image from raw RGB-D images of transparent objects. Specifically, our algorithm uses an encoder-decoder architecture, the encoder is used to extract t"
16,hostile_prior;deep_read;serious_skim;landscape,16,16,16,https://openalex.org/W4385323036,2023,FDCT: Fast Depth Completion for Transparent Objects,Tianan Li; Z.-L. Chen; Huan Liu; Chen Wang,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2307.12274,0,28.8,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Depth completion is crucial for many robotic tasks such as autonomous driving, 3-D reconstruction, and manipulation. Despite the significant progress, existing methods remain computationally intensive and often fail to meet the real-time requirements of low-power robotic platforms. Additionally, most methods are designed for opaque objects and struggle with transparent objects due to the special properties of reflection and refraction. To address these challenges, we propose a Fast Depth Completion framework for Transparent objects (FDCT), which also benefits downstream tasks like object pose estimation. To leverage local information and avoi"
17,hostile_prior;deep_read;serious_skim;landscape,17,17,17,https://openalex.org/W4412093083,2025,"Vision-Based Navigation and Perception for Autonomous Robots: Sensors, SLAM, Control Strategies, and Cross-Domain ApplicationsA Review",Eder A. Rodriguez-Martinez; Wendy FloresFuentes; Farouk Achakir; Oleg Sergiyenko; Fabian N. Murrieta-Rico,EngAdvances in Engineering,https://doi.org/10.3390/eng6070153,21,28.5819,8,scene_or_shape_completion,"Complete unobserved 3D structure from partial point clouds, RGB-D frames, or learned shape priors.","Fits learned implicit fields, voxels, point transformers, or shape priors to partial 3D evidence.",Category or scene priors dominate local observability; unobserved surfaces can be plausibly completed without testing alternatives.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can hide ambiguity behind category priors and overconfident shape completion.,Makes learned completion of unobserved 3D structure less novel.,Explicit tests for whether a completed surface is identifiable under feasible robot motion.,"Camera-centric perception has matured into a cornerstone of modern autonomy, from self-driving cars and factory cobots to underwater and planetary exploration. This review synthesizes more than a decade of progress in vision-based robotic navigation through an engineering lens, charting the full pipeline from sensing to deployment. We first examine the expanding sensor palettemonocular and multi-camera rigs, stereo and RGB-D devices, LiDARcamera hybrids, event cameras, and infrared systemshighlighting the complementary operating envelopes and the rise of learning-based depth inference. The advances in visual localization and mapping are then"
18,hostile_prior;deep_read;serious_skim;landscape,18,18,18,https://openalex.org/W4413917750,2025,TranSplat: Surface Embedding-Guided 3D Gaussian Splatting for Transparent Object Manipulation,Jeongyun Kim; Jeongho Noh; Dong-Guw Lee; Ayoung Kim,,https://doi.org/10.1109/icra55743.2025.11127360,2,28.3845,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent object manipulation remains a significant challenge in robotics due to the difficulty of acquiring accurate and dense depth measurements. Conventional depth sensors often fail with transparent objects, resulting in incomplete or erroneous depth data. Existing depth completion methods struggle with interframe consistency and incorrectly model transparent objects as Lambertian surfaces, leading to poor depth reconstruction. To address these challenges, we propose TranSplat, a surface embedding-guided 3D Gaussian Splatting method tailored for transparent objects. TranSplat uses a latent diffusion model to generate surface embeddings"
19,hostile_prior;deep_read;serious_skim;landscape,19,19,19,https://openalex.org/W3046735138,2020,"View planning in robot active vision: A survey of systems, algorithms, and applications",Rui Zeng; YuHui Wen; Wang Zhao; YongJin Liu,Computational Visual Media,https://doi.org/10.1007/s41095-020-0179-3,109,28.1452,13,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Rapid development of artificial intelligence motivates researchers to expand the capabilities of intelligent and autonomous robots. In many robotic applications, robots are required to make planning decisions based on perceptual information to achieve diverse goals in an efficient and effective way. The planning problem has been investigated in active robot vision, in which a robot analyzes its environment and its own state in order to move sensors to obtain more useful information under certain constraints. View planning, which aims to find the best view sequence for a sensor, is one of the most challenging issues in active robot vision. The"
20,hostile_prior;deep_read;serious_skim;landscape,20,20,20,https://openalex.org/W4416158850,2025,HDCNet: A Hybrid Depth Completion Network for Grasping Transparent and Reflective Objects,Guanghu Xie; Mingxu Li; Songwei Wu; Yang Liu; Zongwu Xie; Baoshi Cao; et al.,ArXiv.org,https://doi.org/10.48550/arxiv.2511.07081,0,28.0,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Depth perception of transparent and reflective objects has long been a critical challenge in robotic manipulation.Conventional depth sensors often fail to provide reliable measurements on such surfaces, limiting the performance of robots in perception and grasping tasks. To address this issue, we propose a novel depth completion network,HDCNet,which integrates the complementary strengths of Transformer,CNN and Mamba architectures.Specifically,the encoder is designed as a dual-branch Transformer-CNN framework to extract modality-specific features. At the shallow layers of the encoder, we introduce a lightweight multimodal fusion module to effe"
21,hostile_prior;deep_read;serious_skim;landscape,21,21,21,https://openalex.org/W1989823960,2011,Active vision in robotic systems: A survey of recent developments,Shengyong Chen; Youfu Li; Ngai Ming Kwok,The International Journal of Robotics Research,https://doi.org/10.1177/0278364911410755,403,27.7005,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"In this paper we provide a broad survey of developments in active vision in robotic applications over the last 15 years. With increasing demand for robotic automation, research in this area has received much attention. Among the many factors that can be attributed to a high-performance robotic system, the planned sensing or acquisition of perceptions on the operating environment is a crucial component. The aim of sensor planning is to determine the pose and settings of vision sensors for undertaking a vision-based task that usually requires obtaining multiple views of the object to be manipulated. Planning for robot vision is a complex proble"
22,hostile_prior;deep_read;serious_skim;landscape,22,22,22,https://openalex.org/W3012906818,2020,3dDepthNet: Point Cloud Guided Depth Completion Network for Sparse Depth and Single Color Image,Rui Xiang; Feng Zheng; Huapeng Su; Zhe Zhang,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2003.09175,8,27.269,2,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"In this paper, we propose an end-to-end deep learning network named 3dDepthNet, which produces an accurate dense depth image from a single pair of sparse LiDAR depth and color image for robotics and autonomous driving tasks. Based on the dimensional nature of depth images, our network offers a novel 3D-to-2D coarse-to-fine dual densification design that is both accurate and lightweight. Depth densification is first performed in 3D space via point cloud completion, followed by a specially designed encoder-decoder structure that utilizes the projected dense depth from 3D completion and the original RGB-D images to perform 2D image completion. E"
